      0  6  0    0   0     0                  0.E+00 1.0
      1  6  1  200   1 () 1s           -3.60000E+01  2.0
      2  6  1  200   2 () 2s           -9.00000E+00  2.0
      3  6  1  200   3 () 3s           -4.00000E+00  2.0
      4  6  1  200   4 () 4s           -2.25000E+00  2.0
      5  6  1  200   5 () 5s           -1.44000E+00  2.0
      6  6  1  200   6 () 6s           -1.00000E+00  2.0
      7  6  1  200   7 () 7s           -7.34694E-01  2.0
      8  6  1  200   8 () 8s           -5.62500E-01  2.0
      9  6  1  200   9 () 9s           -4.44444E-01  2.0
     10  6  1  200  10 ()10s           -3.60000E-01  2.0
     11  6  1  211   1 () 2p           -9.00000E+00  6.0
     12  6  1  211   2 () 3p           -4.00000E+00  6.0
     13  6  1  211   3 () 4p           -2.25000E+00  6.0
     14  6  1  211   4 () 5p           -1.44000E+00  6.0
     15  6  1  211   5 () 6p           -1.00000E+00  6.0
     16  6  1  211   6 () 7p           -7.34694E-01  6.0
     17  6  1  211   7 () 8p           -5.62500E-01  6.0
     18  6  1  211   8 () 9p           -4.44444E-01  6.0
     19  6  1  211   9 ()10p           -3.60000E-01  6.0
     20  6  1  220   1 () 3d           -4.00000E+00 10.0
     21  6  1  220   2 () 4d           -2.25000E+00 10.0
     22  6  1  220   3 () 5d           -1.44000E+00 10.0
     23  6  1  220   4 () 6d           -1.00000E+00 10.0
     24  6  1  220   5 () 7d           -7.34694E-01 10.0
     25  6  1  220   6 () 8d           -5.62500E-01 10.0
     26  6  1  220   7 () 9d           -4.44444E-01 10.0
     27  6  1  220   8 ()10d           -3.60000E-01 10.0
     28  6  1  231   1 () 4f           -2.25000E+00 14.0
     29  6  1  231   2 () 5f           -1.44000E+00 14.0
     30  6  1  231   3 () 6f           -1.00000E+00 14.0
     31  6  1  231   4 () 7f           -7.34694E-01 14.0
     32  6  1  231   5 () 8f           -5.62500E-01 14.0
     33  6  1  231   6 () 9f           -4.44444E-01 14.0
     34  6  1  231   7 ()10f           -3.60000E-01 14.0
     35  6  1  240   1 () 5g           -1.44000E+00 18.0
     36  6  1  240   2 () 6g           -1.00000E+00 18.0
     37  6  1  240   3 () 7g           -7.34694E-01 18.0
     38  6  1  240   4 () 8g           -5.62500E-01 18.0
     39  6  1  240   5 () 9g           -4.44444E-01 18.0
     40  6  1  240   6 ()10g           -3.60000E-01 18.0
     41  6  1  251   1 () 6h           -1.00000E+00 22.0
     42  6  1  251   2 () 7h           -7.34694E-01 22.0
     43  6  1  251   3 () 8h           -5.62500E-01 22.0
     44  6  1  251   4 () 9h           -4.44444E-01 22.0
     45  6  1  251   5 ()10h           -3.60000E-01 22.0
     46  6  1  260   1 () 7i           -7.34694E-01 26.0
     47  6  1  260   2 () 8i           -5.62500E-01 26.0
     48  6  1  260   3 () 9i           -4.44444E-01 26.0
     49  6  1  260   4 ()10i           -3.60000E-01 26.0
     50  6  1  271   1 () 8k           -5.62500E-01 30.0
     51  6  1  271   2 () 9k           -4.44444E-01 30.0
     52  6  1  271   3 ()10k           -3.60000E-01 30.0
     53  6  1  280   1 () 9l           -4.44444E-01 34.0
     54  6  1  280   2 ()10l           -3.60000E-01 34.0
     55  6  1  291   1 ()10m           -3.60000E-01 38.0
     56  6  2  100   1 1s2             -2.87756E+01  1.0
     57  6  2  100   2 1s 2s           -6.43653E+00  1.0
     58  6  2  100   3 1s 3s           -2.83358E+00  1.0
     59  6  2  100   4 1s 4s           -1.58609E+00  1.0
     60  6  2  100   5 1s 5s           -1.01210E+00  1.0
     61  6  2  100   6 1s 6s           -7.01450E-01  1.0
     62  6  2  100   7 1s 7s           -5.14613E-01  1.0
     63  6  2  100   8 1s 8s           -3.93577E-01  1.0
     64  6  2  100   9 1s 9s           -3.10715E-01  1.0
     65  6  2  100  10 1s10s           -2.51510E-01  1.0
     66  6  2  111   1 1s 2p           -6.18527E+00  3.0
     67  6  2  111   2 1s 3p           -2.76025E+00  3.0
     68  6  2  111   3 1s 4p           -1.55546E+00  3.0
